# Time: 2022-04-21T13:39:54-07:00
# Header Rows: 22
# File Format: 2
# Device: APE PulseLink 150
# Serial: S07246
# Firmware: 787
# Software: 1.8.5.1
# Sensitivity: 1
# Gain: 450
# Scan Range [ps]: 150.0
# Filter ACF: 0
# Average: 16
# Trigger: 0
# Trigger Frequency [Hz]: N/A
# ACF [ps]: 25.368
# Fit Type: None
# Fit Pulse Duration [ps]: 0.000
# FWHM Valid: 0
# ==========
# Delay [ps]	Intensity [arb.u.]
# ==========
-49.562281	0.023239
-49.487244	0.022134
-49.412206	0.022651
-49.337169	0.022132
-49.262131	0.022865
-49.187094	0.021858
-49.112056	0.021392
-49.037019	0.022242
-48.961981	0.021577
-48.886943	0.021615
-48.811906	0.021839
-48.736868	0.021324
-48.661831	0.021650
-48.586793	0.021149
-48.511756	0.021592
-48.436718	0.020235
-48.361681	0.020233
-48.286643	0.020162
-48.211606	0.020243
-48.136568	0.019911
-48.061531	0.020152
-47.986493	0.019917
-47.911456	0.018978
-47.836418	0.020038
-47.761381	0.019871
-47.686343	0.020783
-47.611306	0.021332
-47.536268	0.020991
-47.461231	0.021292
-47.386193	0.021411
-47.311156	0.021442
-47.236118	0.020698
-47.161081	0.020060
-47.086043	0.021008
-47.011006	0.020821
-46.935968	0.021226
-46.860930	0.021105
-46.785893	0.021671
-46.710855	0.021573
-46.635818	0.021268
-46.560780	0.021874
-46.485743	0.022360
-46.410705	0.021621
-46.335668	0.021820
-46.260630	0.022128
-46.185593	0.022581
-46.110555	0.022527
-46.035518	0.022365
-45.960480	0.023653
-45.885443	0.022761
-45.810405	0.022610
-45.735368	0.023246
-45.660330	0.022078
-45.585293	0.023734
-45.510255	0.023173
-45.435218	0.022140
-45.360180	0.022653
-45.285143	0.022834
-45.210105	0.022468
-45.135068	0.021889
-45.060030	0.022504
-44.984992	0.022932
-44.909955	0.022319
-44.834917	0.022194
-44.759880	0.022313
-44.684842	0.021986
-44.609805	0.023162
-44.534767	0.021380
-44.459730	0.022265
-44.384692	0.023092
-44.309655	0.022685
-44.234617	0.022281
-44.159580	0.022622
-44.084542	0.022358
-44.009505	0.023383
-43.934467	0.023104
-43.859430	0.023069
-43.784392	0.023374
-43.709355	0.024638
-43.634317	0.024066
-43.559280	0.024843
-43.484242	0.025888
-43.409205	0.025037
-43.334167	0.025670
-43.259130	0.025475
-43.184092	0.026661
-43.109055	0.026848
-43.034017	0.026555
-42.958979	0.025548
-42.883942	0.026981
-42.808904	0.026431
-42.733867	0.026034
-42.658829	0.026094
-42.583792	0.026038
-42.508754	0.025718
-42.433717	0.026196
-42.358679	0.025741
-42.283642	0.026208
-42.208604	0.025419
-42.133567	0.026088
-42.058529	0.025832
-41.983492	0.026115
-41.908454	0.026929
-41.833417	0.025874
-41.758379	0.026911
-41.683342	0.026576
-41.608304	0.027100
-41.533267	0.027112
-41.458229	0.027688
-41.383192	0.028226
-41.308154	0.027501
-41.233117	0.027769
-41.158079	0.028197
-41.083042	0.028857
-41.008004	0.028369
-40.932966	0.029207
-40.857929	0.030185
-40.782891	0.030549
-40.707854	0.030671
-40.632816	0.030038
-40.557779	0.030545
-40.482741	0.030011
-40.407704	0.030144
-40.332666	0.028895
-40.257629	0.028668
-40.182591	0.028134
-40.107554	0.027833
-40.032516	0.027918
-39.957479	0.027835
-39.882441	0.027883
-39.807404	0.027426
